property;property_family;property_detail;created_at
Antiulcéreux;Digestif;Protège contre les ulcères;27/01/2026
Anti-vomissement;Digestif;Soulage les vomissements;27/01/2026
Antioxydant;Digestif;Protège les cellules / Ralenti leur destruction;27/01/2026
Anti-parasitaire;Digestif;Élimine les parasites;27/01/2026
Antiseptique;Digestif;Élimine les microbes;27/01/2026
Antivomitif;Digestif;Soulage les vomissements;27/01/2026
Carminatif;Digestif;Diminue les gaz;27/01/2026
Carminatif;Digestif;réduit les gaz;27/01/2026
Cholagogue;Digestif;Facilite l'évacuation de la bile;27/01/2026
Cholagogue;Digestif;Favorise l’élimination de la bile;27/01/2026
Cholagogue;Digestif;Facilite l’évacuation de la bile;27/01/2026
Cholérétique;Digestif;Facilite la synthèse de la bile;27/01/2026
Dépuratif;Digestif;Nettoie l’organisme;27/01/2026
Digestif;Digestif;Favorise la digestion;27/01/2026
Energisant;Digestif;Augmente le tonus;27/01/2026
Hépatoprotecteur;Digestif;Protège le foie;27/01/2026
Hypotenseur;Digestif;Diminue la pression artérielle;27/01/2026
Immunostimulant;Digestif;Renforce l’immunité;27/01/2026
Laxative;Digestif;Facilite le transit;27/01/2026
Orexigène;Digestif;Augmente la sensation de faim;27/01/2026
Stimulant;Digestif;Stimule la digestion;27/01/2026
Stimulant;Digestif;Stimule l’organisme;27/01/2026
Tonique;Digestif;Stimule le tonus;27/01/2026
Dissolvant;Dissolvant;Dissout certains éléments;27/01/2026
Diurétique;Diurétique;Facilite l’élimination urinaire;27/01/2026
Emménagogue;Emménagogue;Stimule les règles / limite la durée des menstruations;27/01/2026
Emolliente;Emolliente;Adoucit les muqueuses;27/01/2026
Stimulant;Energique;Stimule le système Neurologique;27/01/2026
Stimulante;Energique;Stimule et tonifie l’organisme;27/01/2026
Stimulante;Energique;Stimule l’organisme;27/01/2026
Tonique;Energique;Stimule l’organisme;27/01/2026
Tonique;Energique;Stimule le tonus;27/01/2026
Tonique;Energique;Augmente le tonus;27/01/2026
Stimulant;Energique;Stimule l’organisme;27/01/2026
Tonique;Energique;Renforce le tonus;27/01/2026
Tonique / Énergisant;Energique;s;27/01/2026
Stimulante;Energisante;Stimule et tonifie l'organisme;27/01/2026
Stimulante;Energisante;Stimule la chaleur corporelle;27/01/2026
Expectorante;Expectorante;Facilite l’expectoration;27/01/2026
Cholérétique;Favorise la sécrétion biliaire;Racine;27/01/2026
Dépurative;Favorise l'élimination des toxines ou dechets;Nettoie l’organisme;27/01/2026
Fébrifuge;Fiévreux;Réduit la fièvre;27/01/2026
Hémostatique;Hémostatique;Diminue les saignements;27/01/2026
Hépatoprotecteur;Hépatique;x;27/01/2026
Hépatoprotecteur;Hépatique;w;27/01/2026
Hépatoprotectrice;Hépatique;Protège le foie;27/01/2026
Hépatoprotecteur;Hépatique;s;27/01/2026
Hépatique;Hépatique;Protège le foie;27/01/2026
Antidiabétique;Hormonal;Diminue la glycémie;27/01/2026
Antisudorale;Hormonal;Diminue la sudation;27/01/2026
Aphrodisiaque;Hormonal;Stimule la libido;27/01/2026
Hypoglycémiant;Hormonal;Diminue le taux de sucre;27/01/2026
Antispasmodique;Hormonal;Calme les spasmes;27/01/2026
Euphorisante;Hormonal;Effet euphorisant;27/01/2026
Anti-diabétique;Hormonal;Diminue la glycémie;27/01/2026
Antispasmodique;Hormonal;réduit les spasmes;27/01/2026
Emménagogue;Hormonal;Stimule les règles;27/01/2026
Hémostatique;Hormonal;Diminue le flux;27/01/2026
Régulateur Hormonal;Hormonal;Régule les hormones;27/01/2026
Stimulant;Hormonal;Stimule la puissance sexuelle;27/01/2026
Hypoglycémiant;Hormonal;Diminue la glycémie;27/01/2026
