property;symptom
Stimulante;Fatigue
Stimulante;Grippe
Stimulante;Nervosité
Stimulante;Refroidissements
Stomachique;Aigreurs gastriques
Stomachique;Digestion
Stomachique;Digestion difficile
Stomachique;Digestion lente
Stomachique;Dyspepsie
Stomachique;Insuffisance Digestif
Sudorifique;Grippe
Sudorifique;Rhume
Tonique;Fatigue
Tonique;Tonique
Tonique;Tonique générale
Tonique veineux;Tonique veineux
Tonique veineux;Varices
Vasodilatateur;Circulation veineuse
Vermifuge;Présence de vers
Vermifuge;Vermifuge
Vulnéraire;Cicatrisation
Vulnéraire;Ulcères
Vulnéraire;Ulcères variqueux
Anxiété;Anxiété
Crampes;Crampes
Gastro-intestinales;Gastro-intestinales
Indigestions;Indigestions
Infections à répétition;Infections à répétition
Infections cutanées;Infections cutanées
Manque d’énergie;Manque d’énergie
Maux de tête;Maux de tête
respiratoire;respiratoire
Spasmes Digestifs;Spasmes Digestifs
Stress;Stress
