id,symptom_title
aeeff8d9-efb3-4eb4-b28c-220abbff4c16,Palpitations
1e86aa2d-664c-4559-a72a-22d62a59e6bf,Plaie
d25ef24a-3d77-4ceb-93bb-2c2583e0d83c,Plaie / microbe
0494a67c-9494-46e0-a73a-50f320314112,Presence de champignon
bf646d3d-8dae-4940-99a1-8b90a6eb055c,Pr sence de vers
7717222f-8e4a-4607-bb6f-326e0c7bc411,Prise de poids
ffaa7a09-7b5f-4eee-8e43-8315efa2d361,Refroidissements
00321232-6777-46b9-afca-110e176e2408,R gles douloureuses
f4133762-5c5b-4c5d-ae7a-6d5b3cacbd1c,Remin ralisant osseux
cc3e7278-bda5-4f76-8606-ea8c6e6ff1ef,respiratoire
1e7506c9-ad07-4a6f-a1f4-44f1f3a4bf6b,R tention d eau
2ad2e89d-f00f-4268-980d-1dd5c3d769fd,Rhinite
2d8f1fb4-4531-4bf3-8758-e1d9153a07ed,Rhumatisme
ad5cc903-d14d-4ae0-a2f4-e19c9521f0ee,Rhumatismes
fb1136ff-1ac8-4f71-ab05-eec661d5d948,Rhume
57080c1b-ec4b-4061-8f24-cf567117777c,Rides
eece1916-6c21-4f69-b05a-d174e7147bff,S cheresse et vieillissement cutan 
b31791f1-ee36-4f0c-9810-ad6fd10272f6,S datif
3bc60ffd-ca95-4b70-8acb-a5c424fd7ac7,Spasmes abdominaux
e1cd8061-7bcd-4795-8835-1ca84e3716de,Spasmes Digestifs
dfd2f4c2-a5f4-4a3e-8409-3593eccdec40,Stress
e3e43919-c23b-4a04-8f2b-d2c2168b5792,Stress oxydatif
115a14c6-1713-4437-8de9-e0360c11ffee,Surcharge h patique
943a700a-ddc4-4223-8515-448ca452e6b9,Tendinites
087679b7-b6a2-44be-805a-4c6fc2f8c219,Toux
81ef4f9e-caa9-4677-945f-8cf6048c1c55,Toux grasse
01845bc3-eebe-4d5b-bb20-3bf55b76c64d,Transpiration excessive
345edad7-b8e1-4971-8436-0ebf32764ccd,Trouble abdominal
4c158be5-355d-4bca-9eb2-d97f0c106e8d,Trouble Digestif
5fb98e34-0a07-4708-bc19-79d2cc54e73a,Trouble de la circulation et de la m nopause
eb2afc48-003f-4422-83c1-354e6530d142,Ulc res
c496c10d-0436-4b83-a431-c74ee07fb310,Ulc res variqueux
f368f462-8803-440a-ac2b-84aae408608e,Varices
67e46f5d-e93b-4c1b-a751-49f4d2b983ef,Vergetures
34b2e68b-e2eb-4425-8248-4de91d3abae8,Vermifuge
166ae929-3155-4b2f-a6f0-e34767367248,Vieillissement cellulaire
